compound_ids,canonical_smiles,measured_logS,cluster_id,split
bromopropylate,CC(C)OC(=O)C(O)(c1ccc(Br)cc1)c1ccc(Br)cc1,-4.93,185,validation
Pyrazon,Nc1cnn(-c2ccccc2)c(=O)c1Cl,-2.878,124,train
2-Methylbutan-2-ol,CCC(C)(C)O,0.15,26,train
p-Cresol,Cc1ccc(O)cc1,-0.73,7,train
Ethyl formate,CCOC=O,0.15,62,train
"N,N-Dimethylaniline",CN(C)c1ccccc1,-1.92,184,train
Decalin,C1CCC2CCCCC2C1,-5.19,257,train
Butanethiol ,CCCCS,-2.18,0,train
Benzo(e)pyrene,c1ccc2c(c1)c1cccc3ccc4cccc2c4c31,-7.8,1,train
Tetrachloroethylene,ClC(Cl)=C(Cl)Cl,-2.54,183,validation
3-Pentanone,CCC(=O)CC,-0.28,28,train
Acrylonitrile,C=CC#N,0.15,256,test
Flumethasone,CC1CC2C3CC(F)C4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO,-5.613,39,train
2-Hexanone,CCCCC(C)=O,-0.8,3,train
Terbumeton,CCNc1nc(NC(C)(C)C)nc(OC)n1,-3.239,71,train
3-Methylheptane,CCCCC(C)CC,-5.16,25,train
"1,2-Dibromoethane",BrCCBr,-1.68,44,train
Isoprocarb,CNC(=O)Oc1ccccc1C(C)C,-2.863,30,train
Niridazole,O=C1NCCN1c1ncc([N+](=O)[O-])s1,-3.22,255,validation
Benzo(a)fluorene,c1ccc2c(c1)Cc1c-2ccc2ccccc12,-6.68,1,train
2-Chloroanisole,COc1ccccc1Cl,-2.46,29,train
Bromophos,COP(=S)(OC)Oc1cc(Cl)c(Br)cc1Cl,-6.09,88,train
Quinonamid,O=C(CC(Cl)Cl)NC1=C(Cl)C(=O)c2ccccc2C1=O,-5.03,254,train
Methyl acrylate,C=CC(=O)OC,-0.22,253,test
Chloroxuron,CN(C)C(=O)Nc1ccc(Oc2ccc(Cl)cc2)cc1,-4.89,13,train
Azobenzene,c1ccc(N=Nc2ccccc2)cc1,-4.45,5,train
4-Isopropyltoluene,Cc1ccc(C(C)C)cc1,-3.77,7,train
"2,6-Dichlorophenol",Oc1c(Cl)cccc1Cl,-1.79,4,train
Sucrose,OCC1OC(OC2(CO)OC(CO)C(O)C2O)C(O)C(O)C1O,0.79,70,train
d-inositol,OC1C(O)C(O)C(O)C(O)C1O,0.35,252,validation
Dyphylline,Cn1c(=O)c2c(ncn2CC(O)CO)n(C)c1=O,-0.17,100,train
Chloramphenicol,O=C(NC(CO)C(O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,-2.111,182,train
3-Ethyl-3-pentanol,CCC(O)(CC)CC,-0.85,26,train
Epitostanol,CC12CCC3C(CCC4CC5SC5CC43C)C1CCC2O,-5.41,6,train
"1,2-Dibromobenzene",Brc1ccccc1Br,-3.5,57,train
"2,4,6-Trichlorophenol",Oc1c(Cl)cc(Cl)cc1Cl,-2.34,2,train
oryzalin,CCCN(CCC)c1c([N+](=O)[O-])cc(S(N)(=O)=O)cc1[N+](=O)[O-],-5.16,58,train
RTI 20,O=C1c2ccccc2Cc2ccccc2N1CCF,-4.799,251,train
"2,4-Dimethyl-3-pentanone",CC(C)C(=O)C(C)C,-1.3,84,train
5-(3-Methyl-2-butenyl)-5-isoPrbarbital,CC(C)=CCC1(C(C)C)C(=O)NC(=O)NC1=O,-2.593,17,train
gentisin,COC1=CC2OC3C=CC(O)=CC3C(=O)C2C(O)=C1,-2.943,250,test
Caffeine,Cn1c(=O)c2c(ncn2C)n(C)c1=O,-0.8759999999999999,100,train
Spironolactone,CC(=O)SC1CC2=CC(=O)CCC2(C)C2CCC3(C)C(CCC34CCC(=O)O4)C12,-4.173,99,validation
"3,4-Dimethylphenol",Cc1ccc(O)cc1C,-1.38,7,train
Diphenyl ether ,c1ccc(Oc2ccccc2)cc1,-3.96,5,train
"2,2',4,4',5,5'-PCB",Clc1cc(Cl)c(-c2cc(Cl)c(Cl)cc2Cl)cc1Cl,-8.56,19,train
nicotinamide,NC(=O)c1cccnc1,0.61,98,train
Thiophenol ,Sc1ccccc1,-2.12,5,train
XMC,CNC(=O)Oc1cc(C)cc(C)c1,-2.5810000000000004,30,train
Chlordane,ClC1=C(Cl)C2(Cl)C3C(Cl)C(Cl)CC3C1(Cl)C2(Cl)Cl,-6.86,80,train
Dimethyldisulfide,CSSC,-1.44,181,test
Benzamide,NC(=O)c1ccccc1,-0.96,20,train
o-Chlorobromobenzene,Clc1ccccc1Br,-3.19,4,train
Monotropitoside,COC(=O)c1ccccc1OC1OC(COC2OCC(O)C(O)C2O)C(O)C(O)C1O,-0.742,180,test
3-Heptanol ,CCCCC(O)CC,-1.47,25,train
RTI 15,CCN1c2ncccc2C(=O)Nc2c(C)cc(C)nc21,-4.553999999999999,23,train
"3,5-Dichlorophenol",Oc1cc(Cl)cc(Cl)c1,-1.34,16,train
1-Methylphenanthrene,Cc1cccc2c1ccc1ccccc12,-5.85,1,train
2-Ethyl-1-hexanol,CCCCC(CC)CO,-2.11,25,train
Diallate,CC(C)N(C(=O)SCC(Cl)=CCl)C(C)C,-4.2860000000000005,179,validation
Toluene ,Cc1ccccc1,-2.21,5,train
Nitrapyrin,Clc1cccc(C(Cl)(Cl)Cl)n1,-3.76,249,validation
Cycloheptene,C1=CCCCCC1,-3.18,123,train
Thiram,CN(C)C(=S)SSC(=S)N(C)C,-3.9,154,train
Griseofulvin,COC1=CC(=O)CC(C)C12Oc1c(Cl)c(OC)cc(OC)c1C2=O,-3.2460000000000004,248,train
1-Decanol,CCCCCCCCCCO,-3.63,0,train
"3,3-Dimethylpentane",CCC(C)(C)CC,-4.23,26,train
vamidothion,CNC(=O)C(C)SCCSP(=O)(OC)OC,1.144,247,test
"2,3,4,5-Tetrachlorophenol",Oc1cc(Cl)c(Cl)c(Cl)c1Cl,-3.15,19,train
Butyraldehyde,CCCC=O,-0.01,69,train
dexamethasone acetate,CC(=O)OCC(=O)C1(O)C(C)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC21C,-4.9,39,train
Butane,CCCC,-2.57,0,train
Fluoromethalone,CC(=O)C1(O)CCC2C3CC(C)C4=CC(=O)C=CC4(C)C3(F)C(O)CC21C,-4.099,32,train
Pentachloroethane,ClC(Cl)C(Cl)(Cl)Cl,-2.6,246,validation
Diethyl phthalate ,CCOC(=O)c1ccccc1C(=O)OCC,-2.35,20,train
2-Methylpropan-1-ol,CC(C)CO,0.1,38,train
Isobutylbenzene,CC(C)Cc1ccccc1,-4.12,11,train
Diiodomethane,ICI,-2.34,178,validation
4-Heptanol,CCCC(O)CCC,-1.4,25,train
Pentyl acetate,CCCCCOC(C)=O,-1.89,3,train
"2,3,5,6-Tetrachlorophenol",Oc1c(Cl)c(Cl)cc(Cl)c1Cl,-3.37,19,train
Propylbenzene ,CCCc1ccccc1,-3.37,11,train
"1,2-Dichlorotetrafluoroethane",FC(F)(Cl)C(F)(F)Cl,-2.74,177,train
2-butenal,CC=CC=O,0.32,245,train
tetramethylurea,CN(C)C(=O)N(C)C,0.94,176,test
"1,2,4,5-Tetramethylbenzene",Cc1cc(C)c(C)cc1C,-4.59,8,train
norethindrone acetate,C#CC1(OC(C)=O)CCC2C3CCC4=CC(=O)CCC4C3CCC21C,-4.8,97,train
Ditalimfos,CCOP(=S)(OCC)N1C(=O)c2ccccc2C1=O,-3.35,175,validation
salicylanilide,O=C(Nc1ccccc1)c1ccccc1O,-3.59,10,train
Sulfallate,C=C(Cl)CSC(=S)N(CC)CC,-3.39,154,train
Chloroethane,CCCl,-1.06,53,train
Mefluidide,CC(=O)Nc1cc(NS(=O)(=O)C(F)(F)F)c(C)cc1C,-3.24,174,train
Piperine,O=C(C=CC=Cc1ccc2c(c1)OCO2)N1CCCCC1,-3.46,173,test
cis-2-Pentene,C/C=C\CC,-2.54,244,test
thiofanox,CNC(=O)ON=C(CSC)C(C)(C)C,-1.62,170,train
Cyclooctyl-5-spirobarbituric acid,O=C1NC(=O)C2(CCCCCCC2)C(=O)N1,-2.982,46,train
butacarb,CNC(=O)Oc1cc(C(C)(C)C)cc(C(C)(C)C)c1,-4.24,30,train
Eriodictyol,O=C1CC(c2ccc(O)c(O)c2)Oc2cc(O)cc(O)c21,-3.62,243,validation
Benzophenone,O=C(c1ccccc1)c1ccccc1,-3.12,20,train
Eicosane,CCCCCCCCCCCCCCCCCCCC,-8.172,0,train
hydrazobenzene,c1ccc(NNc2ccccc2)cc1,-2.92,5,train
2-Ethyl-1-butanol,CCC(CC)CO,-1.17,38,train
4-hydroxypyridine,Oc1ccncc1,1.02,122,test
"cis 1,2-Dichloroethylene",Cl/C=C\Cl,-1.3,242,train
Methylcyclopentane,CC1CCCC1,-3.3,96,train
4-Methyl-2-pentanol,CC(C)CC(C)O,-0.8,14,train
RTI 11,Cc1ccc2c(c1)C(=O)N(C)c1cc(N)ccc1O2,-3.928,164,train
"2,2-Dimethylpropanol",CC(C)(C)CO,-0.4,74,train
Triadimefon,CC(C)(C)C(=O)C(Oc1ccc(Cl)cc1)n1cncn1,-3.61,241,test
Isocarboxazid,Cc1cc(C(=O)NNCc2ccccc2)no1,-2.461,240,validation
Propylene,C=CC,-1.08,239,train
Dichlorophen,Oc1ccc(Cl)cc1Cc1cc(Cl)ccc1O,-3.953,172,train
Desmedipham,CCOC(=O)Nc1cccc(OC(=O)Nc2ccccc2)c1,-4.632,30,train
Anthraquinone,O=C1c2ccccc2C(=O)c2ccccc21,-5.19,121,train
2-Octanol,CCCCCCC(C)O,-2.09,0,train
Oxycarboxin,CC1=C(C(=O)Nc2ccccc2)S(=O)(=O)CCO1,-2.281,95,train
Butylbenzene,CCCCc1ccccc1,-4.06,11,train
parabanic acid,O=C1NC(=O)C(=O)N1,-0.4,94,train
Abate,COP(=S)(OC)Oc1ccc(Sc2ccc(OP(=S)(OC)OC)cc2)cc1,-6.237,120,train
Chlorthalidone,NS(=O)(=O)c1cc(C2(O)NC(=O)c3ccccc32)ccc1Cl,-3.451,238,test
Isobutyl acetate,CC(=O)OCC(C)C,-1.21,43,train
"2,2,3-Trimethylbutane",CC(C)C(C)(C)C,-4.36,119,validation
"2,3,3',4,4'6-PCB",Clc1ccc(-c2c(Cl)cc(Cl)c(Cl)c2Cl)c(Cl)c1Cl,-7.66,19,train
Phthalonitrile,N#Cc1ccccc1C#N,-2.38,171,train
m-Nitrotoluene,Cc1cccc([N+](=O)[O-])c1,-2.44,9,train
halothane,FC(F)(F)C(Cl)Br,-1.71,89,train
Oxamyl,CNC(=O)ON=C(SC)C(=O)N(C)C,0.106,170,train
Thiometon,CCSCCSP(=S)(OC)OC,-3.091,68,train
2-Methylbutane,CCC(C)C,-3.18,14,train
Stirofos,COP(=O)(OC)OC(=CCl)c1cc(Cl)c(Cl)cc1Cl,-4.522,237,validation
